"ROW_ID","ROW_VERSION","ROW_ETAG","id","createdOn","createdBy","etag","type","currentVersion","parentId","benefactorId","projectId","modifiedOn","modifiedBy","BrodmannArea","PMI","assay","concreteType","study","consortium","dataSubtype","dataType","fileFormat","group","isStranded","libraryPrep","organ","platform","read","readLength","readStrandOrigin","runType","species","specimenID","specimenIdSource","tissue","name","dataFileHandleId","RIN"
"8616040","1","7f77b0dc-7ab2-11e9-98fa-026b0a0ad230","syn8616040","1491518349433","2223305","7f77b0dc-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493975597502","2223305",,"4","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","886_CER","MayoRNAseq","cerebellum","886_CER.FCC7AFDACXX_L5IACTTGA.r1.fastq.gz","15086855","8.1"
"8616051","1","7f77b644-7ab2-11e9-98fa-026b0a0ad230","syn8616051","1491518521329","2223305","7f77b644-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493975599016","2223305",,"4","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","886_CER","MayoRNAseq","cerebellum","886_CER.FCC7AFDACXX_L5IACTTGA.r2.fastq.gz","15086864","8.1"
"8616072","1","7f77b9d7-7ab2-11e9-98fa-026b0a0ad230","syn8616072","1491518710544","2223305","7f77b9d7-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494017353985","3337572",,"38","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","1933_CER","MayoRNAseq","cerebellum","1933_CER.FCC7KUNACXX_L1ITTAGGC.r2.fastq.gz","15086875","7.8"
"8616165","1","7f77c67a-7ab2-11e9-98fa-026b0a0ad230","syn8616165","1491519802473","2223305","7f77c67a-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494017363761","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","1935_CER","MayoRNAseq","cerebellum","1935_CER.FCC7L0WACXX_L3IGTTTCG.r2.fastq.gz","15086942","6.3"
"8616184","1","7f77cc50-7ab2-11e9-98fa-026b0a0ad230","syn8616184","1491519976710","2223305","7f77cc50-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493975709342","2223305",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","871_CER","MayoRNAseq","cerebellum","871_CER.FCC79ALACXX_L6IACTTGA.r2.fastq.gz","15086959","8.3"
"8616205","1","7f77d074-7ab2-11e9-98fa-026b0a0ad230","syn8616205","1491520166331","2223305","7f77d074-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493975082257","2223305",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","797_CER","MayoRNAseq","cerebellum","797_CER.FCC7BMUACXX_L8IATTCCT.r2.fastq.gz","15086978","9.4"
"8616214","1","7f77d37b-7ab2-11e9-98fa-026b0a0ad230","syn8616214","1491520286987","2223305","7f77d37b-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494017337628","3337572",,"18","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","1930_CER","MayoRNAseq","cerebellum","1930_CER.FCC7AFDACXX_L8IACTGAT.r1.fastq.gz","15086991","5.5"
"8616338","1","7f77d849-7ab2-11e9-98fa-026b0a0ad230","syn8616338","1491520474992","2223305","7f77d849-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493976103565","2223305",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","725_CER","MayoRNAseq","cerebellum","725_CER.FCC7L0WACXX_L1IACTTGA.r1.fastq.gz","15087123","9"
"8616455","1","7f77dd93-7ab2-11e9-98fa-026b0a0ad230","syn8616455","1491520627132","2223305","7f77dd93-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493975434996","2223305",,"15","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","7016_CER","MayoRNAseq","cerebellum","7016_CER.FCC7983ACXX_L3ICGTACG.r2.fastq.gz","15087166","7"
"8616704","1","7f77e12c-7ab2-11e9-98fa-026b0a0ad230","syn8616704","1491520801042","2223305","7f77e12c-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1493975689723","2223305",,"5","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","766_CER","MayoRNAseq","cerebellum","766_CER.FCC7KKVACXX_L7ICGTACG.r2.fastq.gz","15087440","7.9"
