"ROW_ID","ROW_VERSION","ROW_ETAG","id","createdOn","createdBy","etag","type","currentVersion","parentId","benefactorId","projectId","modifiedOn","modifiedBy","BrodmannArea","PMI","assay","concreteType","study","consortium","dataSubtype","dataType","fileFormat","group","isStranded","libraryPrep","organ","platform","read","readLength","readStrandOrigin","runType","species","specimenID","specimenIdSource","tissue","name","dataFileHandleId","RIN"
"8613921","1","7f7739f5-7ab2-11e9-98fa-026b0a0ad230","syn8613921","1491514132205","2223305","7f7739f5-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011430665","3337572",,"8.833","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","108_120418_6","ROSMAP","dorsolateral prefrontal cortex","108_120418.r1.fastq.gz","15085027","7.9"
"8613932","1","7f773b1e-7ab2-11e9-98fa-026b0a0ad230","syn8613932","1491514281550","2223305","7f773b1e-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011432580","3337572",,"3.25","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","04_120405_1","ROSMAP","dorsolateral prefrontal cortex","04_120405.r1.fastq.gz","15085030","8.8"
"8613935","1","7f773c31-7ab2-11e9-98fa-026b0a0ad230","syn8613935","1491514361045","2223305","7f773c31-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011434311","3337572",,"5.75","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","152_120419_6","ROSMAP","dorsolateral prefrontal cortex","152_120419.r1.fastq.gz","15085031","7.9"
"8613943","1","7f773e6e-7ab2-11e9-98fa-026b0a0ad230","syn8613943","1491514447589","2223305","7f773e6e-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011437610","3337572",,"1.583","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","136_120419_1","ROSMAP","dorsolateral prefrontal cortex","136_120419.r1.fastq.gz","15085034","8.3"
"8613957","1","7f773f96-7ab2-11e9-98fa-026b0a0ad230","syn8613957","1491514522074","2223305","7f773f96-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011439072","3337572",,"3.667","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R2","101","reverse","pairedEnd","Human","14_120410_6","ROSMAP","dorsolateral prefrontal cortex","14_120410.r2.fastq.gz","15085038","7.4"
"8613976","1","7f7740ad-7ab2-11e9-98fa-026b0a0ad230","syn8613976","1491514600943","2223305","7f7740ad-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011440833","3337572",,"4","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","119_120418_6","ROSMAP","dorsolateral prefrontal cortex","119_120418.r1.fastq.gz","15085045","7.5"
"8614015","1","7f774235-7ab2-11e9-98fa-026b0a0ad230","syn8614015","1491514671856","2223305","7f774235-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011443320","3337572",,"6.917","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","133_120419_4","ROSMAP","dorsolateral prefrontal cortex","133_120419.r1.fastq.gz","15085073","6.2"
"8614070","1","7f77433d-7ab2-11e9-98fa-026b0a0ad230","syn8614070","1491514749362","2223305","7f77433d-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011445822","3337572",,"7","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","142_120419_6","ROSMAP","dorsolateral prefrontal cortex","142_120419.r1.fastq.gz","15085143","7.7"
"8614135","1","7f774589-7ab2-11e9-98fa-026b0a0ad230","syn8614135","1491514829948","2223305","7f774589-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011447470","3337572",,"10.25","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R1","101","reverse","pairedEnd","Human","132_120419_6","ROSMAP","dorsolateral prefrontal cortex","132_120419.r1.fastq.gz","15085170","7.5"
"8614197","1","7f774704-7ab2-11e9-98fa-026b0a0ad230","syn8614197","1491514928585","2223305","7f774704-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612097","syn2580853","syn2580853","1494011449627","3337572",,"15.167","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"TRUE","polyAselection","brain","HiSeq2000","R2","101","reverse","pairedEnd","Human","07_120410_4","ROSMAP","dorsolateral prefrontal cortex","07_120410.r2.fastq.gz","15085191","5.6"
